pengajaran_id,dosen_id,mk_id,is_dosen_kb,class
1,3059,INF124201,False,A
2,5385,INF124201,False,A
3,2664,INF124201,False,B
4,82,INF124201,False,B
5,400,INF124201,False,C
6,5388,INF124201,False,C
7,3063,INF124201,False,D
8,3914,INF124201,False,D
9,5399,INF124201,False,E
10,4920,INF124201,False,E
11,5936,INF124205,True,
12,3058,INF124205,False,A
13,3059,INF124205,False,A
14,5939,INF124205,False,B
15,4922,INF124205,False,B
16,2287,INF124205,False,C
17,5383,INF124205,False,C
18,5388,INF124205,False,D
19,5387,INF124205,False,D
20,2923,INF124205,False,E
21,3073,INF124205,False,E
22,4701,INF124210,True,
23,5388,INF124210,False,A
24,3631,INF124210,False,A
25,2667,INF124210,False,B
26,2925,INF124210,False,B
27,3914,INF124210,False,C
28,2742,INF124210,False,C
29,2747,INF124210,False,D
30,2665,INF124210,False,D
31,2436,INF124210,False,E
32,4920,INF124210,False,E
33,4687,INF124209,False,A
34,5386,INF124209,False,A
35,1335,INF124209,False,B
36,5334,INF124209,False,B
37,4790,INF124209,False,C
38,5398,INF124209,False,C
39,5387,INF124209,False,D
40,3556,INF124209,False,D
41,1662,INF124209,False,E
42,5094,INF124209,False,E
43,3881,INF124206,True,
44,3877,INF124206,False,A
45,2926,INF124206,False,A
46,3970,INF124206,False,B
47,3069,INF124206,False,B
48,3064,INF124206,False,C
49,3631,INF124206,False,C
50,3912,INF124206,False,D
51,82,INF124206,False,D
52,5149,INF124206,False,E
53,2665,INF124206,False,E
54,3911,INF124202,True,
55,5085,INF124202,False,A
56,3668,INF124202,False,A
57,2664,INF124202,False,B
58,4686,INF124202,False,B
59,5067,INF124202,False,C
60,3631,INF124202,False,C
61,5088,INF124202,False,D
62,5707,INF124202,False,D
63,5101,INF124202,False,E
64,4922,INF124202,False,E
65,3164,INF124208,False,A
66,585,INF124208,False,A
67,3555,INF124208,False,B
68,4569,INF124208,False,B
69,5101,INF124208,False,C
70,5149,INF124208,False,C
71,4996,INF124208,False,D
72,5151,INF124208,False,D
73,4922,INF124208,False,E
74,4790,INF124208,False,E
75,4696,INF124204,True,
76,3084,INF124204,False,A
77,5400,INF124204,False,A
78,5082,INF124204,False,B
79,5383,INF124204,False,B
80,4919,INF124204,False,C
81,4789,INF124204,False,C
82,4790,INF124204,False,D
83,5385,INF124204,False,D
84,5398,INF124204,False,E
85,56,INF124204,False,E
86,3058,INF124207,False,A
87,56,INF124207,False,A
88,5073,INF124207,False,B
89,3880,INF124207,False,B
90,5088,INF124207,False,C
91,5080,INF124207,False,C
92,5385,INF124207,False,D
93,2747,INF124207,False,D
94,400,INF124207,False,E
95,1409,INF124207,False,E
96,5938,INF124203,True,
97,3063,INF124203,False,A
98,585,INF124203,False,A
99,4722,INF124203,False,B
100,5101,INF124203,False,B
101,2736,INF124203,False,C
102,3668,INF124203,False,C
103,2287,INF124203,False,D
104,5149,INF124203,False,D
105,5523,INF124203,False,E
106,2741,INF124203,False,E
107,4688,INF124404,True,
108,2112,INF124404,False,A
109,2571,INF124404,False,A
110,3075,INF124404,False,B
111,5149,INF124404,False,B
112,5707,INF124404,False,C
113,5910,INF124404,False,C
114,1044,INF124404,False,D
115,400,INF124404,False,D
116,2452,INF124401,False,A
117,5094,INF124401,False,A
118,2026,INF124401,False,B
119,5334,INF124401,False,B
120,5000,INF124401,False,C
121,4691,INF124401,False,C
122,5707,INF124401,False,D
123,82,INF124401,False,D
124,4689,INF124406,False,A
125,5399,INF124406,False,A
126,2923,INF124406,False,B
127,4922,INF124406,False,B
128,5383,INF124406,False,C
129,5077,INF124406,False,C
130,4687,INF124406,False,D
131,3555,INF124406,False,D
132,4700,INF124413,True,
133,1409,INF124413,False,A
134,1312,INF124413,False,A
135,2435,INF124413,False,B
136,584,INF124413,False,B
137,56,INF124413,False,C
138,3077,INF124413,False,C
139,3668,INF124413,False,D
140,2923,INF124413,False,D
141,2202,INF124411,True,
142,2665,INF124411,False,A
143,3877,INF124411,False,A
144,4716,INF124411,False,B
145,2727,INF124411,False,B
146,1037,INF124411,False,C
147,5071,INF124411,False,C
148,3063,INF124411,False,D
149,4722,INF124411,False,D
150,4686,INF124409,False,A
151,5150,INF124409,False,A
152,3082,INF124409,False,B
153,1037,INF124409,False,B
154,1035,INF124409,False,C
155,5523,INF124409,False,C
156,3060,INF124409,False,D
157,3075,INF124409,False,D
158,5075,INF124412,False,A
159,3879,INF124412,False,A
160,2159,INF124412,False,B
161,3555,INF124412,False,B
162,2354,INF124412,False,C
163,4918,INF124412,False,C
164,1045,INF124412,False,D
165,5390,INF124412,False,D
166,109,INF124407,True,
167,5077,INF124407,False,A
168,164,INF124407,False,A
169,1037,INF124407,False,B
170,3630,INF124407,False,B
171,5942,INF124407,False,C
172,1035,INF124407,False,C
173,2354,INF124407,False,D
174,5383,INF124407,False,D
175,1035,INF124402,False,A
176,5396,INF124402,False,A
177,4737,INF124402,False,B
178,2658,INF124402,False,B
179,5383,INF124402,False,C
180,3073,INF124402,False,C
181,4569,INF124402,False,D
182,3668,INF124402,False,D
183,2665,INF124408,False,A
184,4922,INF124408,False,A
185,2435,INF124408,False,B
186,4569,INF124408,False,B
187,3064,INF124408,False,C
188,5000,INF124408,False,C
189,4698,INF124408,False,D
190,4694,INF124408,False,D
191,2995,INF124405,False,A
192,3914,INF124405,False,A
193,3164,INF124405,False,B
194,2571,INF124405,False,B
195,3880,INF124405,False,C
196,4919,INF124405,False,C
197,5910,INF124405,False,D
198,4722,INF124405,False,D
199,4694,INF124403,False,A
200,5084,INF124403,False,A
201,5150,INF124403,False,B
202,5708,INF124403,False,B
203,2039,INF124403,False,C
204,2741,INF124403,False,C
205,5709,INF124403,False,D
206,3069,INF124403,False,D
207,5941,INF124410,True,
208,2665,INF124410,False,A
209,2735,INF124410,False,A
210,2039,INF124410,False,B
211,3879,INF124410,False,B
212,5077,INF124410,False,C
213,5388,INF124410,False,C
214,398,INF124410,False,D
215,2747,INF124410,False,D
216,4921,INF124639,True,
217,1661,INF124639,False,A
218,2039,INF124639,False,A
219,5939,INF124639,False,B
220,5101,INF124639,False,B
221,3632,INF124637,False,A
222,4752,INF124637,False,A
223,1409,INF124637,False,B
224,5151,INF124637,False,B
225,5397,INF124612,True,
226,1409,INF124612,False,A
227,5871,INF124612,False,A
228,3914,INF124612,False,B
229,3044,INF124612,False,B
230,4569,INF124631,False,A
231,227,INF124631,False,A
232,5871,INF124631,False,B
233,2928,INF124631,False,B
234,1051,INF124642,True,
235,4790,INF124642,False,A
236,5390,INF124642,False,A
237,4698,INF124642,False,B
238,5396,INF124642,False,B
239,5334,INF124624,False,A
240,2926,INF124624,False,A
241,55,INF124624,False,B
242,5069,INF124624,False,B
243,1037,INF124630,False,A
244,2667,INF124630,False,A
245,3082,INF124630,False,B
246,3058,INF124630,False,B
247,4790,INF124603,False,A
248,402,INF124603,False,A
249,3063,INF124603,False,B
250,2923,INF124603,False,B
251,3069,INF124623,False,A
252,402,INF124623,False,A
253,4694,INF124623,False,B
254,1045,INF124623,False,B
255,4789,INF124618,False,A
256,5069,INF124618,False,A
257,2741,INF124618,False,B
258,3879,INF124618,False,B
259,3073,INF124636,False,A
260,584,INF124636,False,A
261,4722,INF124636,False,B
262,2231,INF124636,False,B
263,5936,INF124611,True,
264,4996,INF124611,False,A
265,2742,INF124611,False,A
266,3082,INF124611,False,B
267,4686,INF124611,False,B
268,2694,INF124634,True,
269,5709,INF124634,False,A
270,3630,INF124634,False,A
271,3058,INF124634,False,B
272,1113,INF124634,False,B
273,2923,INF124602,False,A
274,3059,INF124602,False,A
275,1069,INF124602,False,B
276,4996,INF124602,False,B
277,5942,INF124633,False,A
278,2742,INF124633,False,A
279,3069,INF124633,False,B
280,5398,INF124633,False,B
281,2694,INF124621,True,
282,3084,INF124621,False,A
283,584,INF124621,False,A
284,3069,INF124621,False,B
285,3883,INF124621,False,B
286,2231,INF124628,False,A
287,2926,INF124628,False,A
288,3061,INF124628,False,B
289,2231,INF124628,False,B
290,3881,INF124614,True,
291,3084,INF124614,False,A
292,3068,INF124614,False,A
293,3632,INF124614,False,B
294,4690,INF124614,False,B
295,5910,INF124613,False,A
296,1662,INF124613,False,A
297,5069,INF124613,False,B
298,55,INF124613,False,B
299,3064,INF124622,False,A
300,2112,INF124622,False,A
301,2026,INF124622,False,B
302,3044,INF124622,False,B
303,3063,INF124629,False,A
304,2923,INF124629,False,A
305,227,INF124629,False,B
306,1044,INF124629,False,B
307,4699,INF124625,True,
308,2658,INF124625,False,A
309,2925,INF124625,False,A
310,2026,INF124625,False,B
311,2995,INF124625,False,B
312,5069,INF124632,False,A
313,1035,INF124632,False,A
314,5910,INF124632,False,B
315,3082,INF124632,False,B
316,5399,INF124601,False,A
317,5106,INF124601,False,A
318,1662,INF124601,False,B
319,2667,INF124601,False,B
320,3067,INF124641,True,
321,5709,INF124641,False,A
322,2923,INF124641,False,A
323,5101,INF124641,False,B
324,5085,INF124641,False,B
325,5871,INF124619,False,A
326,3164,INF124619,False,A
327,5523,INF124619,False,B
328,3064,INF124619,False,B
329,2357,INF124638,True,
330,3073,INF124638,False,A
331,2742,INF124638,False,A
332,3059,INF124638,False,B
333,5383,INF124638,False,B
334,399,INF124615,True,
335,4689,INF124615,False,A
336,5396,INF124615,False,A
337,5149,INF124615,False,B
338,4694,INF124615,False,B
339,1043,INF124610,False,A
340,1035,INF124610,False,A
341,4690,INF124610,False,B
342,2354,INF124610,False,B
343,3063,INF124635,False,A
344,5085,INF124635,False,A
345,5084,INF124635,False,B
346,2039,INF124635,False,B
347,4918,INF124617,False,A
348,5708,INF124617,False,A
349,4920,INF124617,False,B
350,4998,INF124617,False,B
351,225,INF124620,True,
352,1043,INF124620,False,A
353,1045,INF124620,False,A
354,2735,INF124620,False,B
355,5087,INF124620,False,B
356,5908,INF124616,True,
357,5396,INF124616,False,A
358,3164,INF124616,False,A
359,5710,INF124616,False,B
360,2664,INF124616,False,B
361,4700,INF124640,True,
362,5082,INF124640,False,A
363,4692,INF124640,False,A
364,2452,INF124640,False,B
365,3061,INF124640,False,B
366,2663,INF124701,False,A
367,5386,INF124701,False,A
368,5820,INF124801,True,
369,3059,INF124801,False,A
370,5076,INF124801,False,A
371,4701,INF124501,True,
372,1335,INF124501,False,A
373,2026,INF124501,False,A
374,2747,INF124501,False,B
375,5400,INF124501,False,B
376,5151,INF124504,False,A
377,2663,INF124504,False,A
378,1507,INF124504,False,B
379,402,INF124504,False,B
380,4958,POL124501,True,
381,3068,POL124501,False,A
382,2353,POL124501,False,A
383,5071,POL124501,False,B
384,3668,POL124501,False,B
385,2924,INF124505,False,A
386,3075,INF124505,False,A
387,5069,INF124505,False,B
388,4569,INF124505,False,B
389,4700,HKM124701,True,
390,3631,HKM124701,False,A
391,2922,HKM124701,False,A
392,4698,HKM124701,False,B
393,5710,HKM124701,False,B
394,4701,INF124502,True,
395,2665,INF124502,False,A
396,5073,INF124502,False,A
397,3632,INF124502,False,B
398,55,INF124502,False,B
399,3632,INFMBKM02,False,A
400,4697,INFMBKM02,False,A
401,5088,INFMBKM02,False,B
402,1662,INFMBKM02,False,B
403,4921,MNJ124305,True,
404,5067,MNJ124305,False,A
405,3075,MNJ124305,False,A
406,3164,MNJ124305,False,B
407,2922,MNJ124305,False,B
408,5398,SDT124307,False,A
409,1113,SDT124307,False,A
410,5000,SDT124307,False,B
411,4716,SDT124307,False,B
412,3632,INF124506,False,A
413,2039,INF124506,False,A
414,3068,INF124506,False,B
415,5101,INF124506,False,B
416,5000,TKM120407,False,A
417,2926,TKM120407,False,A
418,2926,TKM120407,False,B
419,3927,TKM120407,False,B
420,3634,SIM124109,True,
421,5396,SIM124109,False,A
422,5149,SIM124109,False,A
423,4922,SIM124109,False,B
424,4722,SIM124109,False,B
425,3706,INF124503,True,
426,3164,INF124503,False,A
427,5400,INF124503,False,A
428,2735,INF124503,False,B
429,2925,INF124503,False,B
430,5820,INF124507,True,
431,5086,INF124507,False,A
432,4692,INF124507,False,A
433,5384,INF124507,False,B
434,5083,INF124507,False,B
