kodemk,namamk,sks,smt,kurikulum,status_mk,kelas,tipe_mk
SIM024101,Dasar Pemrograman,2,1,501.2024,A,A,0
SIM024103,Konsep Basis Data,2,1,501.2024,A,A,0
SIM024107,Matematika Diskrit ,3,1,501.2024,A,A,0
MKW024102,Pancasila,2,1,501.2024,A,A,0
MKW024101,Pendidikan Agama,2,1,501.2024,A,A,0
MKW024104,Pendidikan Bela Negara,2,1,501.2024,A,A,0
SIM024102,Praktikum Dasar Pemrograman,2,1,501.2024,A,A,1
SIM024104,Praktikum Konsep Basis Data,2,1,501.2024,A,A,1
SIM024106,Praktikum Struktur Data,2,1,501.2024,A,A,1
SIM024105,Struktur Data,1,1,501.2024,A,A,0
SIM024203,Algoritma dan Pemrograman Berorientasi Objek,2,2,501.2024,A,A,0
SIM024207,Analisis Dan Perancangan Sistem Informasi,2,2,501.2024,A,A,0
SIM024201,Analisis Proses Bisnis,2,2,501.2024,A,A,0
SIM024210,Bahasa Inggris,2,2,501.2024,A,A,0
SIM024209,Konsep Sistem Informasi,2,2,501.2024,A,A,0
SIM024204,Praktikum Algoritma dan Pemrograman Berorientasi Objek,2,2,501.2024,A,A,1
SIM024208,Praktikum Analisis Dan Perancangan Sistem Informasi,2,2,501.2024,A,A,1
SIM024206,Praktikum Sistem Basis Data,2,2,501.2024,A,A,1
SIM024205,Sistem Basis Data,2,2,501.2024,A,A,0
SIM024202,Sistem Informasi Manajemen,2,2,501.2024,A,A,0
SIM024310,Analisis bisnis ,2,3,501.2024,A,A,0
SIM024303,Interaksi Manusia Dan Komputer,1,3,501.2024,A,A,0
SIM024312,Manajemen Proyek Sistem Informasi,2,3,501.2024,A,A,0
SIM024305,Pemrograman Web,1,3,501.2024,A,A,0
SIM024311,Pengantar Data Science,2,3,501.2024,A,A,0
SIM024309,Pengantar Teknologi Informasi,2,3,501.2024,A,A,0
SIM024304,Praktikum Interaksi Manusia Dan Komputer,2,3,501.2024,A,A,1
SIM024306,Praktikum Pemrograman Web,2,3,501.2024,A,A,1
SIM024302,Praktikum Sistem Operasi,2,3,501.2024,A,A,1
SIM024301,Sistem Operasi,1,3,501.2024,A,A,0
SIM024308,Statistik dan Probabilitas,2,3,501.2024,A,A,0
SIM024307,Technopreneurship,2,3,501.2024,A,A,0
SIM024413,Data Mining dan Data Warehouse*),3,4,501.2024,A,A,0
SIM024406,Etika Profesi Sistem Informasi,2,4,501.2024,A,A,0
SIM024408,Intelegensia Bisnis,2,4,501.2024,A,A,0
SIM024401,Keamanan Sistem Informasi,1,4,501.2024,A,A,0
SIM024415,Komunikasi Bisnis *),3,4,501.2024,A,A,0
SIM024414,Manajemen Kualitas Bisnis *),3,4,501.2024,A,A,0
SIM024407,Metode Penulisan & Seminar TA,2,4,501.2024,A,A,0
SIM024402,Mobile Programming,1,4,501.2024,A,A,0
SIM024404,Pemrograman Berorientasi Objek,1,4,501.2024,A,A,0
SIM024411,Pemrograman Mobile Lanjut *),3,4,501.2024,A,A,0
SIM024410,Pemrograman Web Lanjut *),3,4,501.2024,A,A,0
SIM024403,Praktikum Mobile Programming,2,4,501.2024,A,A,1
SIM024405,Praktikum Pemrograman Berorientasi Objek,2,4,501.2024,A,A,1
SIM024409,Proyek Perangkat Lunak,2,4,501.2024,A,A,0
SIM024412,Visualisasi Data *),3,4,501.2024,A,A,0
SIM024509,Big Data,2,5,501.2024,A,A,0
SIM024502,Desain Arsitektur enterprise,2,5,501.2024,A,A,0
SIM024503,Jaringan Komputer,1,5,501.2024,A,A,0
SIM024505,Keamanan Sistem Dan Aplikasi,1,5,501.2024,A,A,0
SIM024501,Kerja Praktek (Magang),2,5,501.2024,A,A,0
SIM024507,Manajemen data dan Informasi,2,5,501.2024,A,A,0
KMO0424504,MBKM Asistensi Mengajar,4,5,501.2024,A,A,0
KMO11245011,MBKM Bela Negara,4,5,501.2024,A,A,0
KMO0524505,MBKM Magang / Praktik Kerja,4,5,501.2024,A,A,0
KMO10245010,MBKM Membagun Desa/KKN Tematik,4,5,501.2024,A,A,0
KMO0624506,MBKM Penelitian/Riset,4,5,501.2024,A,A,0
KMO0224502,MBKM Pertukaran Mahasiswa Merdeka,4,5,501.2024,A,A,0
KMO0124501,MBKM Pertukaran Pelajar IISMA,4,5,501.2024,A,A,0
KMO0324503,MBKM Pertukaran Pelajar Lainnya,4,5,501.2024,A,A,0
KMO0724507,MBKM Proyek Kemanusiaan,4,5,501.2024,A,A,0
KMO0924509,MBKM Study Independen Bersertifikat,4,5,501.2024,A,A,0
KMO0824508,MBKM Wirausaha Merdeka ,4,5,501.2024,A,A,0
SIM024510,Perancangan ui/ux,2,5,501.2024,A,A,0
SIM024504,Praktikum Jaringan Komputer ,2,5,501.2024,A,A,1
SIM024506,Praktikum Keamanan Sistem Dan Aplikasi ,2,5,501.2024,A,A,1
SIM024508,Praktikum Manajemen data dan Informasi,2,5,501.2024,A,A,1
SIM024511,Praktikum perancangan ui/ux,2,5,501.2024,A,A,1
MKW024603,Bahasa Indonesia,2,6,501.2024,A,A,0
MKW024607,kewarganegaraan,2,6,501.2024,A,A,0
SIM124601,Tugas Akhir/Proyek,4,6,501.2024,A,A,0
MKW124103,Bahasa Indonesia,2,1,511.2024,A,A,0
INF124101,Dasar Pemrograman,2,1,511.2024,A,A,0
INF124107,Kalkulus,3,1,511.2024,A,A,0
INF124105,Konsep Basis Data ,2,1,511.2024,A,A,0
MKW124102,Pancasila,2,1,511.2024,A,A,0
MKW124101,Pendidikan Agama,2,1,511.2024,A,A,0
INF124104,Pengantar Teknologi Informasi,2,1,511.2024,A,A,0
INF124102,Praktikum Dasar Pemrograman,1,1,511.2024,A,A,1
INF124106,Praktikum Konsep Basis Data ,1,1,511.2024,A,A,1
